rank (in terms of popularity),3D printing process,Features supporting the rank increase,Limitations (causing the lowering in the rank),
1, Fused Deposition Modeling, Accessibility and affordability, ,
,Material availability,,
,,Ease of Use,,
,,Versatility,,
2, Stereolithography, High-resolution printing/Accuracy, material limitations,
3, Selective Laser Sintering,Material versatility/No need for support structures,Cost and size limitations, 
4, Binder Jetting,Speed/Material versatility (including metals  ceramics  and composites)/Cost-effectiveness for certain applications,,
5, Selective Laser Melting,Metal printing capability (including high-quality parts with excellent mechanical properties)/Precise control/high-resolution printing,High cost and specialized requirements,
6, Direct Energy Deposition,Metal printing capability (including repair and large-scale applications)/Flexibility for multi-material printing/,Complex geometries, 
7, Electron Beam Melting, Titanium printing capability/Excellent mechanical properties,High cost and specialized requirements,
